,year,month,city,day,precipitation
0,2018,1,SEA,2018-01-31,0.5900000000000001
1,2018,1,STL,2018-01-31,0.76
2,2018,2,SEA,2018-02-28,0.6366666666666666
3,2018,2,STL,2018-02-28,1.73
4,2018,3,SEA,2018-03-31,0.63
5,2018,3,STL,2018-03-31,1.43
6,2018,4,SEA,2018-04-30,1.65
7,2018,4,STL,2018-04-30,0.97
8,2018,5,SEA,2018-05-31,0.12
9,2018,5,STL,2018-05-31,1.61
10,2018,6,SEA,2018-06-30,0.26
11,2018,6,STL,2018-06-30,0.92
12,2018,7,SEA,2018-07-31,0.02
13,2018,7,STL,2018-07-31,0.6
14,2018,8,SEA,2018-08-31,0.27
15,2018,8,STL,2018-08-31,1.12
16,2018,9,SEA,2018-09-30,0.28
17,2018,9,STL,2018-09-30,0.92
18,2018,10,SEA,2018-10-31,1.25
19,2018,10,STL,2018-10-31,1.05
20,2018,11,SEA,2018-11-30,1.56
21,2018,11,STL,2018-11-30,0.72
22,2018,12,SEA,2018-12-31,0.83
23,2018,12,STL,2018-12-31,1.0
24,2019,1,SEA,2019-01-31,0.8133333333333334
25,2019,1,STL,2019-01-31,0.76
26,2019,2,SEA,2019-02-28,1.12
27,2019,2,STL,2019-02-28,1.18
28,2019,3,SEA,2019-03-31,0.76
29,2019,3,STL,2019-03-31,1.65
30,2019,4,SEA,2019-04-30,0.44
31,2019,4,STL,2019-04-30,2.36
32,2019,5,SEA,2019-05-31,0.6
33,2019,5,STL,2019-05-31,1.79
34,2019,6,SEA,2019-06-30,0.31
35,2019,6,STL,2019-06-30,1.12
36,2019,7,SEA,2019-07-31,0.62
37,2019,7,STL,2019-07-31,3.3
38,2019,8,SEA,2019-08-31,0.47
39,2019,8,STL,2019-08-31,2.68
40,2019,9,SEA,2019-09-30,0.61
41,2019,9,STL,2019-09-30,0.8
42,2019,10,SEA,2019-10-31,0.96
43,2019,10,STL,2019-10-31,1.25
44,2019,11,SEA,2019-11-30,0.73
45,2019,11,STL,2019-11-30,1.5
46,2019,12,SEA,2019-12-31,2.6
47,2019,12,STL,2019-12-31,0.75
48,2020,1,SEA,2020-01-31,0.98
49,2020,1,STL,2020-01-31,2.16
50,2020,2,SEA,2020-02-29,1.44
51,2020,2,STL,2020-02-29,0.76
52,2020,3,SEA,2020-03-31,0.71
53,2020,3,STL,2020-03-31,0.97
54,2020,4,SEA,2020-04-30,0.82
55,2020,4,STL,2020-04-30,1.55
56,2020,5,SEA,2020-05-31,1.29
57,2020,5,STL,2020-05-31,1.44
58,2020,6,SEA,2020-06-30,0.54
59,2020,6,STL,2020-06-30,1.04
60,2020,7,SEA,2020-07-31,0.07
61,2020,7,STL,2020-07-31,2.34
62,2020,8,SEA,2020-08-31,0.28
63,2020,8,STL,2020-08-31,2.03
64,2020,9,SEA,2020-09-30,0.255
65,2020,9,STL,2020-09-30,0.44
66,2020,10,SEA,2020-10-31,0.99
67,2020,10,STL,2020-10-31,1.07
68,2020,11,SEA,2020-11-30,0.96
69,2020,11,STL,2020-11-30,1.43
70,2020,12,SEA,2020-12-31,2.42
71,2020,12,STL,2020-12-31,0.67
72,2021,1,SEA,2021-01-31,1.72
73,2021,1,STL,2021-01-31,1.25
74,2021,2,SEA,2021-02-28,0.93
75,2021,2,STL,2021-02-28,0.52
76,2021,3,SEA,2021-03-31,0.4
77,2021,3,STL,2021-03-31,2.04
78,2021,4,SEA,2021-04-30,0.5
79,2021,4,STL,2021-04-30,1.06
80,2021,5,SEA,2021-05-31,0.29
81,2021,5,STL,2021-05-31,1.29
82,2021,6,SEA,2021-06-30,0.73
83,2021,6,STL,2021-06-30,2.62
84,2021,7,SEA,2021-07-31,0.02
85,2021,7,STL,2021-07-31,2.02
86,2021,8,SEA,2021-08-31,0.08
87,2021,8,STL,2021-08-31,1.22
88,2021,9,SEA,2021-09-30,0.85
89,2021,9,STL,2021-09-30,1.7
90,2021,10,SEA,2021-10-31,2.0
91,2021,10,STL,2021-10-31,0.82
92,2021,11,SEA,2021-11-30,1.06
93,2021,11,STL,2021-11-30,0.17
94,2021,12,SEA,2021-12-31,0.83
95,2021,12,STL,2021-12-31,1.08
96,2022,1,SEA,2022-01-31,1.97
97,2022,1,STL,2022-01-31,0.63
98,2022,2,SEA,2022-02-28,1.89
99,2022,2,STL,2022-02-28,1.41
100,2022,3,SEA,2022-03-31,1.03
101,2022,3,STL,2022-03-31,1.84
102,2022,4,SEA,2022-04-30,0.88
103,2022,4,STL,2022-04-30,0.89
104,2022,5,SEA,2022-05-31,0.66
105,2022,5,STL,2022-05-31,1.59
106,2022,6,SEA,2022-06-30,1.07
107,2022,6,STL,2022-06-30,0.48
108,2022,7,SEA,2022-07-31,0.12
109,2022,7,STL,2022-07-31,8.64
110,2022,8,SEA,2022-08-31,0.07
111,2022,8,STL,2022-08-31,4.32
112,2022,9,SEA,2022-09-30,0.03
113,2022,9,STL,2022-09-30,0.51
114,2022,10,SEA,2022-10-31,0.9
115,2022,10,STL,2022-10-31,2.31
116,2022,11,SEA,2022-11-30,1.26
117,2022,11,STL,2022-11-30,0.81
118,2022,12,SEA,2022-12-31,1.37
119,2022,12,STL,2022-12-31,0.77
