,year,month,city,precipitation
0,2018,1,SEA,0.17088709677419356
1,2018,1,STL,0.03967741935483871
2,2018,2,SEA,0.17687499999999998
3,2018,2,STL,0.1875
4,2018,3,SEA,0.08201612903225806
5,2018,3,STL,0.2296774193548387
6,2018,4,SEA,0.198
7,2018,4,STL,0.07600000000000001
8,2018,5,SEA,0.0067741935483870966
9,2018,5,STL,0.1629032258064516
10,2018,6,SEA,0.048
11,2018,6,STL,0.103
12,2018,7,SEA,0.000967741935483871
13,2018,7,STL,0.06451612903225806
14,2018,8,SEA,0.019032258064516132
15,2018,8,STL,0.1503225806451613
16,2018,9,SEA,0.03255555555555555
17,2018,9,STL,0.06666666666666667
18,2018,10,SEA,0.11580645161290322
19,2018,10,STL,0.1032258064516129
20,2018,11,SEA,0.19016666666666668
21,2018,11,STL,0.09133333333333332
22,2018,12,SEA,0.1925806451612903
23,2018,12,STL,0.12838709677419355
24,2019,1,SEA,0.16637096774193547
25,2019,1,STL,0.09451612903225808
26,2019,2,SEA,0.21285714285714286
27,2019,2,STL,0.12714285714285714
28,2019,3,SEA,0.05
29,2019,3,STL,0.18161290322580645
30,2019,4,SEA,0.0795
31,2019,4,STL,0.22533333333333333
32,2019,5,SEA,0.04774193548387097
33,2019,5,STL,0.24161290322580645
34,2019,6,SEA,0.028833333333333332
35,2019,6,STL,0.15533333333333335
36,2019,7,SEA,0.04830645161290323
37,2019,7,STL,0.18387096774193545
38,2019,8,SEA,0.04204301075268817
39,2019,8,STL,0.20419354838709677
40,2019,9,SEA,0.126
41,2019,9,STL,0.05600000000000001
42,2019,10,SEA,0.09225806451612903
43,2019,10,STL,0.1235483870967742
44,2019,11,SEA,0.1421666666666667
45,2019,11,STL,0.11866666666666667
46,2019,12,SEA,0.24354838709677418
47,2019,12,STL,0.06
48,2020,1,SEA,0.28516129032258064
49,2020,1,STL,0.20935483870967742
50,2020,2,SEA,0.1874137931034483
51,2020,2,STL,0.09206896551724138
52,2020,3,SEA,0.1167741935483871
53,2020,3,STL,0.12419354838709677
54,2020,4,SEA,0.057666666666666665
55,2020,4,STL,0.16733333333333336
56,2020,5,SEA,0.11870967741935484
57,2020,5,STL,0.1764516129032258
58,2020,6,SEA,0.060000000000000005
59,2020,6,STL,0.09033333333333333
60,2020,7,SEA,0.01
61,2020,7,STL,0.29258064516129034
62,2020,8,SEA,0.016774193548387096
63,2020,8,STL,0.15193548387096775
64,2020,9,SEA,0.025888888888888892
65,2020,9,STL,0.030000000000000002
66,2020,10,SEA,0.12193548387096774
67,2020,10,STL,0.11838709677419354
68,2020,11,SEA,0.18566666666666667
69,2020,11,STL,0.128
70,2020,12,SEA,0.2309677419354839
71,2020,12,STL,0.05161290322580645
72,2021,1,SEA,0.2803225806451613
73,2021,1,STL,0.1232258064516129
74,2021,2,SEA,0.18339285714285714
75,2021,2,STL,0.05857142857142857
76,2021,3,SEA,0.09115591397849462
77,2021,3,STL,0.1667741935483871
78,2021,4,SEA,0.05325
79,2021,4,STL,0.1366666666666667
80,2021,5,SEA,0.03774193548387097
81,2021,5,STL,0.09225806451612903
82,2021,6,SEA,0.071
83,2021,6,STL,0.17766666666666667
84,2021,7,SEA,0.0006451612903225806
85,2021,7,STL,0.19193548387096776
86,2021,8,SEA,0.014381720430107528
87,2021,8,STL,0.1564516129032258
88,2021,9,SEA,0.09033333333333333
89,2021,9,STL,0.10133333333333333
90,2021,10,SEA,0.1703225806451613
91,2021,10,STL,0.08451612903225807
92,2021,11,SEA,0.292
93,2021,11,STL,0.011666666666666665
94,2021,12,SEA,0.1829032258064516
95,2021,12,STL,0.08870967741935484
96,2022,1,SEA,0.2509677419354839
97,2022,1,STL,0.043548387096774194
98,2022,2,SEA,0.12142857142857143
99,2022,2,STL,0.12714285714285714
100,2022,3,SEA,0.10543010752688173
101,2022,3,STL,0.15451612903225806
102,2022,4,SEA,0.114
103,2022,4,STL,0.11333333333333333
104,2022,5,SEA,0.13483870967741934
105,2022,5,STL,0.20096774193548386
106,2022,6,SEA,0.10800000000000001
107,2022,6,STL,0.059666666666666666
108,2022,7,SEA,0.01
109,2022,7,STL,0.3941935483870968
110,2022,8,SEA,0.007741935483870969
111,2022,8,STL,0.18645161290322582
112,2022,9,SEA,0.0033333333333333335
113,2022,9,STL,0.057666666666666665
114,2022,10,SEA,0.09193548387096774
115,2022,10,STL,0.11870967741935484
116,2022,11,SEA,0.19933333333333333
117,2022,11,STL,0.08166666666666668
118,2022,12,SEA,0.2745161290322581
119,2022,12,STL,0.0632258064516129
