,month,city,precipitation
0,1,SEA,0.23074193548387098
1,1,STL,0.10206451612903227
2,2,SEA,0.17647163120567377
3,2,STL,0.11829787234042553
4,3,SEA,0.0890752688172043
5,3,STL,0.1713548387096774
6,4,SEA,0.10048333333333333
7,4,STL,0.14373333333333335
8,5,SEA,0.06916129032258064
9,5,STL,0.17483870967741935
10,6,SEA,0.06316666666666666
11,6,STL,0.11720000000000001
12,7,SEA,0.013983870967741936
13,7,STL,0.22541935483870967
14,8,SEA,0.01999462365591398
15,8,STL,0.1698709677419355
16,9,SEA,0.055622222222222226
17,9,STL,0.06233333333333333
18,10,SEA,0.1184516129032258
19,10,STL,0.10967741935483871
20,11,SEA,0.20186666666666667
21,11,STL,0.08626666666666666
22,12,SEA,0.2249032258064516
23,12,STL,0.07838709677419355
